orthology	SS1a	SS2b	SS4d	SS6f
M00001	288.519582969339	277.161293595427	282.782914632992	274.14642789082
M00002	478.775390925101	460.936255937508	470.277209943393	449.087417316281
M00003	418.873564967256	400.454831305277	407.565613971311	398.299397095754
M00004	404.054104273215	399.20417327634	409.968146036396	403.138011669678
M00005	1137.3446091381	1113.42213236304	1130.29090276678	1121.65133502211
M00006	288.019215223945	271.46606402051	281.592542777457	280.872362344185
M00007	587.568589882435	604.838675658486	624.20636981046	612.262697141124
M00008	207.151500695682	236.567578753945	242.482012927696	229.935617236082
M00009	448.965527826758	434.242332973035	433.671725798744	432.279832201879
M00010	767.227826280868	726.918141114651	748.727016399108	729.328174822028
M00011	392.801592805445	382.593660948044	378.073733339857	379.859536445382
M00012	543.538571545515	521.043313708981	517.261649858127	527.34799326583
M00013	377.683545816666	422.935548431605	391.611129912258	435.815937365794
M00014	95.7095664413276	95.9082276522158	94.4520904538624	89.1743852202569
M00015	268.214674161666	276.789939316992	295.762645508971	266.558586587205
M00016	349.727647227171	364.135335060656	367.508216555006	348.097219947536
M00017	397.594920786886	382.257695109923	378.90758601621	372.313688749519
M00018	289.037439098177	292.031775024531	289.305563732533	279.902980934874
M00019	971.09948057505	923.981905474449	959.979477041894	937.751729288397
M00020	526.481122554423	544.168199018802	515.133821683179	556.186443684511
M00021	546.220270147942	507.120943014783	528.341746387422	514.12507754064
M00022	237.409249968909	231.997044934616	237.898893689561	242.038069204617
M00023	263.331432992136	261.324396418145	264.599189942662	251.370765300991
M00024	39.1643366727505	48.2038845835038	47.8034487286256	47.6241943277382
M00025	32.3326241483876	46.9964810812913	46.2124996891447	44.1015083035473
M00026	256.760240819422	270.53292549407	284.663934601328	266.750855099154
M00027	151.363057890697	147.167335617196	146.204338039949	159.128052880273
M00028	130.857092013932	145.206193566916	146.743924920674	137.383744688613
M00029	423.198612065448	426.544548469242	425.832059013501	423.475730094249
M00030	16.0336580667277	16.0950255906258	16.4471014431841	15.7462112695133
M00031	25.5498200581526	28.5614278352002	27.843193466331	24.2037546831712
M00032	200.460954466796	214.229834932911	202.017774264578	207.951566091163
M00033	312.413697534682	329.956563675225	327.544866794458	314.732692924322
M00034	142.282617705013	140.494902300133	139.233348081771	141.062916578834
M00035	494.647882321694	478.569490048927	477.778307769361	460.876841605877
M00036	501.081233753239	539.299293820564	507.241258618181	539.036600515192
M00037	25.7078769556314	21.0654704451648	21.001602151847	21.8767231412458
M00038	80.5755066262665	84.9206629159363	80.9968650560034	82.1395986398796
M00039	2.25684661307665	1.89391303066087	2.55497487533744	2.82130143910316
M00040	38.6453979854924	44.8588706212598	41.0410892236711	50.7268416904086
M00042	24.8962223859318	20.156183288207	19.2145879744036	20.7136379458124
M00044	209.041470901136	256.591991320633	232.914825522416	240.742543913557
M00045	385.8369797683	405.982734698102	383.504652868711	415.378928772289
M00046	176.191670590481	185.000298502035	180.186089042525	176.623364382419
M00047	4.84972688191697	2.27046772734613	4.26225110557177	3.61779348230223
M00048	261.194679735082	253.283377588598	260.104872294765	248.561968329442
M00049	383.83887253461	395.307250628074	408.667917507262	384.891640826456
M00050	664.34263521633	655.564111174099	683.879839621073	646.669442486268
M00051	365.242024602534	358.354880341075	366.592201610179	354.093717421099
M00052	342.911363912749	329.585051730596	348.49793529859	328.657854668444
M00053	414.837859889876	421.949461412085	425.061603033225	406.518721435048
M00055	0.0944196634142861	0.287363881952197	0.226988917722055	0.370520216071816
M00060	137.57277012545	165.122737244061	169.424407722655	157.197913675936
M00061	171.372172725183	158.429509592755	164.987795636484	167.476551277078
M00063	313.293370030964	347.69148121517	321.580803815547	330.347664728909
M00064	149.412730130257	151.303230081014	166.313494051426	149.441025002462
M00065	0.0951231403444077	0.138353809823136	0.0233271899293818	0.0423569043315299
M00066	13.5472699063098	8.2342617521212	8.0521310099306	6.19214923168275
M00072	0.237609592227694	0.307348909721883	0.284357288059327	0.450012964958549
M00073	0.201166566066141	0.878135951987287	0.0634805496438913	0.056155259017917
M00074	0.0548636089271293	0.185493224373883	0.111711581775563	0.0153150706412501
M00075	0.102881657938678	0	0	0
M00076	7.73600837474839	8.61268507906226	7.23466818119038	8.38495099019997
M00077	7.76970399129836	10.311681397048	8.24232481620806	9.00980305787231
M00078	6.92874823370892	6.80635889971103	5.25161457368412	6.14441059773995
M00079	36.8219203946207	43.4251210619687	35.0090904962662	38.3986745392884
M00080	24.273616575192	26.5251948765426	29.4309042374827	29.1951075440764
M00081	25.6057495909006	23.3018811687584	15.6496792163716	19.5984723822706
M00082	297.28074582136	303.768930273673	302.069816772951	290.812111342662
M00083	474.213826438635	453.354888469227	465.186329240892	468.862080112018
M00085	3.78476371145675	5.14893168771913	4.59022944980963	4.34072407817102
M00086	517.580829459035	604.06331071423	574.090937983715	640.42190540306
M00087	209.349496100985	232.128102205786	220.75659287933	237.302269137316
M00088	691.883326782061	788.449490155416	717.393045515299	798.702617779707
M00089	37.3221459167256	43.8905760420903	45.1028267942781	43.7192008773287
M00090	0	0.261776366634766	0	0
M00091	35.649561941605	29.761224023436	37.0009160975463	43.4676299648938
M00092	0	0	0	0.0742918899710008
M00093	236.22895312195	276.724911331431	255.009145886278	262.223582915243
M00094	1.98593985891992	1.3463399867123	1.61153680691539	0.527413732125518
M00095	360.333990716171	392.739828175859	371.719107777902	397.482041144514
M00096	313.808450619557	301.705879911861	314.263188433848	304.889996815778
M00097	22.0060722610141	28.3201937152797	27.8856086717111	31.7980031873024
M00098	1.2594024263314	1.25914761900137	1.52126618469313	1.74876186012691
M00099	1.31632882367662	1.0905909800069	1.14128649280497	0.649431378365884
M00100	21.8517895865094	20.672478656853	15.7073591605913	18.0168396435606
M00101	0.939099743506274	1.54023558098197	1.67930643845441	1.21145920422464
M00102	0.600326427040166	0.867171642326728	0.595916842452409	1.04732875902833
M00104	9.61406894377138	10.8047155250253	10.2195172822777	10.5332373373901
M00107	1.90361707385023	2.2315953278311	3.83323242438223	0.727094175875067
M00110	1.42771280538767	1.67369649587333	2.87492431828667	0.5453206319063
M00112	0.800777074660192	1.03873084803839	0.992340507277758	1.01219197908344
M00113	86.8406004767972	89.5119499044835	86.9764613388692	88.3304675386559
M00114	100.351769335708	98.5981131236636	94.8679929878647	94.5110317764029
M00115	324.391081290868	315.640293168463	332.194050864758	318.699458097537
M00116	67.4372763241585	67.3262143613664	71.6262099151801	68.6108900687146
M00117	292.502413920237	295.818665582795	300.569015085912	294.629101172671
M00118	99.0036998587654	119.539667543094	121.512167012817	111.575626544643
M00119	346.499658932006	364.550326295236	357.544501872916	335.191300002152
M00120	124.997699005373	121.529386776778	128.653521671325	117.879248924624
M00121	302.047762528925	316.793870748818	326.429346907769	311.14903074031
M00122	97.9796104479546	107.730112133561	105.286736083105	99.0740058446807
M00123	130.694704343323	138.64342443801	132.189311697749	125.614165122119
M00124	232.789617742531	252.449370809786	253.532345461468	242.811059725344
M00125	147.743787555551	153.998762656907	164.249356617059	158.234625869263
M00126	115.405783928829	126.598425002168	126.874588135143	123.425877681381
M00127	152.348042514923	155.116918046275	161.677050165499	146.738111238063
M00128	12.4566450975847	13.5471898439933	12.8082455250662	12.9802740212648
M00129	246.879548609554	247.604288995687	251.430976895336	248.266084763909
M00130	0	0	0.00808838334888223	0
M00131	46.910146954991	46.8227889446356	53.2625932479784	55.0541169449811
M00133	157.359977092021	173.567237238181	161.573604667674	171.255019152575
M00134	190.220897789073	212.235821807112	200.929471320241	208.791679737941
M00135	230.50533688272	222.652939709619	216.344282711989	229.396918858771
M00136	14.6665865458528	30.3077980752637	22.6091477409922	30.2696158385587
M00137	0.888635160945248	0.355877560503556	1.28175567271387	0.78873052389695
M00140	735.936540359075	719.202327180682	717.229036935877	734.654931866102
M00141	297.402354203758	293.316820022073	296.643238056417	310.28955070121
M00142	0	0.034443804127237	0	0.557079628009686
M00143	0.79367379030078	0.790703022029989	0.937428440883367	1.34802110102118
M00144	892.237808478744	813.164703541643	826.408806412774	804.363556660357
M00145	2.91662373871367	2.64347913586624	3.71331049619317	3.54770960579583
M00146	0	0.0590720164047432	0.0340423167321087	0
M00147	0	0.129240962206977	0	0
M00148	1.06648328951195	0.744057626756924	0.576378442343337	0.369704925198708
M00149	770.516059291892	746.090405263636	731.634294582601	732.435661687822
M00150	103.295097314273	108.616539875547	100.402702134622	109.743742708601
M00151	69.0154847155133	78.805680836171	84.6699138021186	79.2651447553621
M00152	55.2619796333641	64.6943636941402	71.0332912935862	64.5618879859615
M00153	196.791146886683	211.146738957005	226.513204535111	203.054788480256
M00154	35.9956475390555	39.2985332204336	35.7063322712405	39.7828956732432
M00155	519.147041714764	523.316538428159	505.183061602772	518.083361670513
M00156	225.574470732264	249.360550592492	267.215420575599	245.868966294916
M00157	730.848928645277	732.025551758995	741.816469527594	712.623884953568
M00158	0.96457084769574	0.755521978850555	0.677341753947675	0.833417918933074
M00159	67.933900118739	60.2124206196666	59.0411933710875	60.2109152085161
